"date","aqi","co","no","no2","o3","so2","pm2_5","pm10","nh3"
"2020-11-25T01:00:00.000Z",1,188.59,0,2.49,72.96,1.22,3,4.84,0.01
"2020-11-25T02:00:00.000Z",1,193.6,0,2.79,72.96,1.4,3.56,5.75,0.01
"2020-11-25T03:00:00.000Z",1,193.6,0,2.55,76.53,1.34,3.2,5.03,0.01
"2020-11-25T04:00:00.000Z",2,190.26,0,2.21,80.11,1.27,2.94,4.28,0.01
"2020-11-25T05:00:00.000Z",1,195.27,0,2.16,77.25,1.3,3.82,5.7,0.01
"2020-11-25T06:00:00.000Z",1,216.96,0,2.55,74.39,1.36,4.99,8.53,0.03
"2020-11-25T07:00:00.000Z",1,233.65,0,3.56,67.23,1.54,6.16,13.81,0.08
"2020-11-25T08:00:00.000Z",1,226.97,0,4.5,60.8,1.74,6.11,17.28,0.14
"2020-11-25T09:00:00.000Z",1,220.3,0.01,5.14,59.37,1.8,5.51,19.51,0.17
"2020-11-25T10:00:00.000Z",2,216.96,0.05,5.66,60.08,1.79,5.28,20.92,0.16
"2020-11-25T11:00:00.000Z",2,216.96,0.05,5.74,60.8,1.79,5.36,20.16,0.14
"2020-11-25T12:00:00.000Z",1,216.96,0.02,5.36,64.37,1.74,5.56,18.18,0.11
"2020-11-25T13:00:00.000Z",1,220.3,0.01,4.11,70.1,1.59,5.59,16.11,0.09
"2020-11-25T14:00:00.000Z",1,223.64,0.01,3.34,70.81,1.49,5.67,14.05,0.07
"2020-11-25T15:00:00.000Z",1,226.97,0,3.56,67.95,1.55,5.63,12.88,0.05
"2020-11-25T16:00:00.000Z",1,226.97,0,3.98,65.09,1.7,5.25,11.85,0.04
"2020-11-25T17:00:00.000Z",1,223.64,0,4.41,61.51,1.91,4.92,10.52,0.04
"2020-11-25T18:00:00.000Z",1,216.96,0,4.93,56.51,2.09,4.65,9.29,0.04
"2020-11-25T19:00:00.000Z",1,211.95,0,5.74,51.5,2.33,4.47,8.15,0.06
"2020-11-25T20:00:00.000Z",1,211.95,0,6.51,46.49,2.56,3.98,6.54,0.14
"2020-11-25T21:00:00.000Z",1,210.29,0,7.11,41.13,2.83,3.4,5.04,0.32
"2020-11-25T22:00:00.000Z",1,208.62,0,7.97,36.84,3.16,2.81,3.77,0.58
"2020-11-25T23:00:00.000Z",1,206.95,0,8.91,35.76,3.37,2.2,2.79,0.73
"2020-11-26T00:00:00.000Z",1,206.95,0,10.11,35.05,3.82,1.82,2.26,0.78
"2020-11-26T01:00:00.000Z",1,206.95,0,12.85,31.83,4.71,1.74,2.18,0.83
"2020-11-26T02:00:00.000Z",1,206.95,0.01,16.79,25.39,5.6,1.85,2.32,0.86
"2020-11-26T03:00:00.000Z",1,208.62,0.01,19.88,20.74,5.84,1.9,2.39,0.87
"2020-11-26T04:00:00.000Z",1,210.29,0.02,21.59,17.7,5.72,1.88,2.38,0.87
"2020-11-26T05:00:00.000Z",1,213.62,0.02,22.28,16.63,5.6,1.81,2.33,0.9
"2020-11-26T06:00:00.000Z",1,220.3,0.04,22.96,16.27,5.6,1.83,2.46,1
"2020-11-26T07:00:00.000Z",1,230.31,0.07,23.99,15.74,5.31,1.96,2.78,1.17
"2020-11-26T08:00:00.000Z",1,233.65,0.06,25.02,16.27,5.13,2.03,3.06,1.12
"2020-11-26T09:00:00.000Z",1,233.65,0.39,24.68,18.95,5.19,1.94,3.27,0.94
"2020-11-26T10:00:00.000Z",1,230.31,1.68,21.76,25.03,5.36,1.73,3.31,0.76
"2020-11-26T11:00:00.000Z",1,230.31,2.32,18.68,29.33,4.77,1.63,3.39,0.78
"2020-11-26T12:00:00.000Z",1,230.31,1.98,16.28,32.19,3.58,1.55,3.47,0.79
"2020-11-26T13:00:00.000Z",1,230.31,1.29,16.62,33.62,3.34,1.5,3.5,0.77
"2020-11-26T14:00:00.000Z",1,233.65,0.48,19.36,30.76,3.58,1.61,3.64,0.87
"2020-11-26T15:00:00.000Z",1,236.99,0.02,20.74,27.54,3.61,1.8,3.86,1.01
"2020-11-26T16:00:00.000Z",1,243.66,0.02,20.56,24.68,3.04,2.05,4.22,1.22
"2020-11-26T17:00:00.000Z",1,250.34,0.03,20.74,21.46,2.33,2.56,5,1.41
"2020-11-26T18:00:00.000Z",1,267.03,0.04,22.96,17.7,2.18,3.34,6.08,1.63
"2020-11-26T19:00:00.000Z",1,280.38,0.05,24.68,14.84,2.09,4.14,6.98,1.93
"2020-11-26T20:00:00.000Z",1,287.06,0.04,22.62,14.48,1.94,4.25,6.92,2.41
"2020-11-26T21:00:00.000Z",1,280.38,0.04,18.17,15.74,2,3.9,6.33,3.36
"2020-11-26T22:00:00.000Z",1,273.71,0.03,14.05,17.35,2.09,3.4,5.54,4.69
"2020-11-26T23:00:00.000Z",1,263.69,0.02,11.14,18.77,1.83,2.89,4.81,5.83
"2020-11-27T00:00:00.000Z",1,257.02,0.01,9.34,19.13,1.54,2.53,4.34,6.59
"2020-11-27T01:00:00.000Z",1,253.68,0.01,8.4,18.95,1.4,2.45,4.26,7.22
"2020-11-27T02:00:00.000Z",1,253.68,0.01,7.88,18.42,1.31,2.57,4.38,7.73
"2020-11-27T03:00:00.000Z",1,253.68,0.01,7.54,17.35,1.25,2.82,4.57,8.04
"2020-11-27T04:00:00.000Z",1,253.68,0.01,7.11,16.45,1.18,3.1,4.74,7.98
"2020-11-27T05:00:00.000Z",1,250.34,0.02,6.6,16.63,1.25,3.23,4.63,8.87
"2020-11-27T06:00:00.000Z",1,250.34,0.05,6.77,16.27,1.76,3.28,4.51,10.39
"2020-11-27T07:00:00.000Z",1,257.02,0.12,8.65,13.95,2.62,3.37,4.59,12.03
"2020-11-27T08:00:00.000Z",1,267.03,0.16,10.97,11.27,3.43,3.62,4.95,12.92
"2020-11-27T09:00:00.000Z",1,273.71,0.41,11.82,9.84,3.87,4.03,5.48,12.54
"2020-11-27T10:00:00.000Z",1,277.04,2.12,11.48,9.92,4.71,4.58,6.15,10.01
"2020-11-27T11:00:00.000Z",1,283.72,4.02,11.65,10.1,5.25,5.16,6.94,9.5
"2020-11-27T12:00:00.000Z",1,290.39,4.92,11.82,9.84,4.71,5.5,7.49,10.64
"2020-11-27T13:00:00.000Z",1,293.73,4.36,13.02,8.32,4.11,5.67,7.86,10.89
"2020-11-27T14:00:00.000Z",1,297.07,2.82,15.42,5.01,3.73,5.7,7.98,11.02
"2020-11-27T15:00:00.000Z",1,297.07,1.34,17.14,2.08,3.46,5.35,7.47,10.51
"2020-11-27T16:00:00.000Z",1,290.39,1.13,16.45,1.99,3.19,4.77,6.54,8.99
"2020-11-27T17:00:00.000Z",1,280.38,1.06,15.77,2.3,2.89,4.43,5.89,8.23
"2020-11-27T18:00:00.000Z",1,280.38,0.91,15.59,2.48,2.68,4.42,5.7,8.49
"2020-11-27T19:00:00.000Z",1,277.04,0.64,14.57,3.22,2.56,4.42,5.61,8.61
"2020-11-27T20:00:00.000Z",1,273.71,0.32,13.02,5.28,2.47,4.29,5.37,9.12
"2020-11-27T21:00:00.000Z",1,270.37,0.14,11.48,8.49,2.33,4.14,5.18,9.12
"2020-11-27T22:00:00.000Z",1,263.69,0.07,10.03,11.8,2.03,3.85,4.84,8.74
"2020-11-27T23:00:00.000Z",1,253.68,0.03,8.31,15.91,1.54,3.3,4.12,8.23
"2020-11-28T00:00:00.000Z",1,240.33,0.01,6.34,21.46,1.18,2.65,3.28,7.41
"2020-11-28T01:00:00.000Z",1,230.31,0,4.41,27.54,1,2.09,2.6,6.52
"2020-11-28T02:00:00.000Z",1,223.64,0,3.26,32.19,0.91,1.69,2.12,6.08
"2020-11-28T03:00:00.000Z",1,220.3,0,2.61,34.69,0.92,1.4,1.78,5.95
"2020-11-28T04:00:00.000Z",1,220.3,0,2.31,35.41,0.97,1.22,1.57,6.02
"2020-11-28T05:00:00.000Z",1,220.3,0,2.36,34.33,1.06,1.13,1.46,6.02
"2020-11-28T06:00:00.000Z",1,223.64,0.01,3,32.19,1.43,1.24,1.62,6.21
"2020-11-28T07:00:00.000Z",1,233.65,0.02,4.54,29.33,1.97,1.51,1.98,6.21
"2020-11-28T08:00:00.000Z",1,240.33,0.02,5.83,26.82,2.41,1.74,2.28,5.89
"2020-11-28T09:00:00.000Z",1,240.33,0.02,6.17,26.82,2.59,1.84,2.42,5.32
"2020-11-28T10:00:00.000Z",1,240.33,0.02,5.66,28.97,2.68,1.81,2.42,4.56
"2020-11-28T11:00:00.000Z",1,236.99,0.03,5.27,31.83,2.89,1.8,2.44,4.12
"2020-11-28T12:00:00.000Z",1,236.99,0.03,5.4,32.54,3.25,1.99,2.71,3.99
"2020-11-28T13:00:00.000Z",1,240.33,0.02,6,31.11,3.49,2.31,3.13,4.18
"2020-11-28T14:00:00.000Z",1,243.66,0.02,6.94,27.9,3.34,2.64,3.55,4.43
"2020-11-28T15:00:00.000Z",1,247,0.02,7.71,24.32,2.98,2.94,3.9,4.69
"2020-11-28T16:00:00.000Z",1,250.34,0.03,8.65,21.28,2.71,3.17,4.14,5.32
"2020-11-28T17:00:00.000Z",1,253.68,0.04,9.85,18.77,2.68,3.39,4.41,6.27
"2020-11-28T18:00:00.000Z",1,260.35,0.04,10.97,17.17,2.92,3.7,4.8,7.09
"2020-11-28T19:00:00.000Z",1,267.03,0.04,12,16.81,3.37,4.08,5.32,8.23
"2020-11-28T20:00:00.000Z",1,273.71,0.03,12.85,17.7,3.93,4.39,5.75,9.63
"2020-11-28T21:00:00.000Z",1,277.04,0.02,12.68,20.92,4.35,4.53,5.92,10.39
"2020-11-28T22:00:00.000Z",1,270.37,0.01,10.97,27.54,4.11,4.14,5.39,9.12
"2020-11-28T23:00:00.000Z",1,253.68,0,8.14,35.76,3.04,3.39,4.33,6.65
"2020-11-29T00:00:00.000Z",1,240.33,0,5.57,42.2,1.94,2.57,3.24,4.18
"2020-11-29T01:00:00.000Z",1,233.65,0,4.03,45.06,1.22,2.1,2.63,2.66
"2020-11-29T02:00:00.000Z",1,233.65,0,3.86,42.2,1.1,2.22,2.75,3.2
"2020-11-29T03:00:00.000Z",1,240.33,0,4.24,36.48,1.25,2.73,3.34,4.75
"2020-11-29T04:00:00.000Z",1,250.34,0,4.84,30.04,1.48,3.46,4.18,6.4
"2020-11-29T05:00:00.000Z",1,253.68,0,5.14,25.75,1.76,4.05,4.9,6.52
"2020-11-29T06:00:00.000Z",1,257.02,0.01,5.48,24.32,2.27,4.49,5.49,6.4
"2020-11-29T07:00:00.000Z",1,260.35,0.02,5.91,24.68,2.5,4.75,5.85,5.7
"2020-11-29T08:00:00.000Z",1,260.35,0.02,6.34,24.68,2.47,4.86,6.01,5.26
"2020-11-29T09:00:00.000Z",1,260.35,0.02,6.51,24.68,2.41,5.1,6.35,5.19
"2020-11-29T10:00:00.000Z",1,257.02,0.04,6.68,25.03,2.38,5.46,6.81,5.19
"2020-11-29T11:00:00.000Z",1,257.02,0.06,7.11,25.39,2.44,6.04,7.44,5.13
"2020-11-29T12:00:00.000Z",1,257.02,0.06,8.05,26.46,3.04,6.79,8.19,5.13
"2020-11-29T13:00:00.000Z",1,253.68,0.03,9.34,27.54,4.11,7.45,8.81,5.19
"2020-11-29T14:00:00.000Z",1,257.02,0.01,10.2,29.68,5.13,8,9.26,5.32
"2020-11-29T15:00:00.000Z",1,257.02,0.01,10.54,31.83,5.66,8.34,9.48,5.76
"2020-11-29T16:00:00.000Z",1,257.02,0.01,11.14,32.54,5.78,8.53,9.63,6.52
"2020-11-29T17:00:00.000Z",1,257.02,0.01,11.48,31.83,5.19,8.77,9.89,6.71
"2020-11-29T18:00:00.000Z",1,250.34,0.01,10.8,31.11,4.05,8.83,9.97,5.32
"2020-11-29T19:00:00.000Z",1,247,0,9,32.54,3.25,8.74,9.77,3.01
"2020-11-29T20:00:00.000Z",1,240.33,0,7.11,34.69,2.89,8.35,9.22,1.66
"2020-11-29T21:00:00.000Z",1,236.99,0,6,36.12,2.41,7.63,8.36,1.19
"2020-11-29T22:00:00.000Z",1,233.65,0,5.27,37.91,2.06,6.51,7.07,0.86
"2020-11-29T23:00:00.000Z",1,230.31,0,5.36,41.13,1.97,4.94,5.39,0.62
"2020-11-30T00:00:00.000Z",1,223.64,0,6.26,45.78,2.44,3.29,3.67,0.34
"2020-11-30T01:00:00.000Z",1,220.3,0,6.6,47.21,2.98,2.54,2.86,0.16
"2020-11-30T02:00:00.000Z",1,223.64,0,7.63,41.49,3.46,3.99,4.33,0.31
"2020-11-30T03:00:00.000Z",1,226.97,0,8.74,36.48,3.93,5.16,5.47,0.6
"2020-11-30T04:00:00.000Z",1,223.64,0,7.8,37.91,3.46,3.8,4.05,0.69
"2020-11-30T05:00:00.000Z",1,216.96,0,5.66,42.56,2.62,1.81,2.07,0.58
"2020-11-30T06:00:00.000Z",1,213.62,0,4.03,50.78,1.94,0.65,0.96,0.31
"2020-11-30T07:00:00.000Z",1,210.29,0,3.26,61.51,1.68,0.5,0.81,0.14
"2020-11-30T08:00:00.000Z",1,211.95,0,2.7,67.23,1.61,0.52,0.81,0.07
"2020-11-30T09:00:00.000Z",1,213.62,0,2.49,63.66,1.49,0.58,0.97,0.12
"2020-11-30T10:00:00.000Z",1,216.96,0,2.38,62.94,1.33,0.66,1.14,0.22
"2020-11-30T11:00:00.000Z",1,213.62,0,2.53,65.09,1.39,0.82,1.46,0.3
"2020-11-30T12:00:00.000Z",1,213.62,0,2.87,65.8,1.49,1.18,1.96,0.33
"2020-11-30T13:00:00.000Z",1,213.62,0,3.3,65.09,1.58,1.53,2.39,0.32
"2020-11-30T14:00:00.000Z",1,213.62,0,3.64,62.94,1.58,1.65,2.52,0.31
"2020-11-30T15:00:00.000Z",1,216.96,0,4.03,59.37,1.61,2.11,2.98,0.29
"2020-11-30T16:00:00.000Z",1,216.96,0,4.37,57.22,1.62,2.65,3.47,0.28
"2020-11-30T17:00:00.000Z",1,220.3,0,4.54,55.79,1.52,3.25,3.97,0.25
"2020-11-30T18:00:00.000Z",1,220.3,0,4.58,55.08,1.42,3.56,4.17,0.24
"2020-11-30T19:00:00.000Z",1,220.3,0,4.54,55.79,1.31,3.25,3.75,0.23
"2020-11-30T20:00:00.000Z",1,223.64,0,4.46,55.79,1.28,2.64,3.07,0.22
"2020-11-30T21:00:00.000Z",1,223.64,0,4.46,55.08,1.36,2.18,2.56,0.22
"2020-11-30T22:00:00.000Z",1,226.97,0,5.01,51.5,1.58,2.24,2.6,0.24
"2020-11-30T23:00:00.000Z",1,230.31,0,6.17,46.49,1.76,2.52,2.84,0.28
"2020-12-01T00:00:00.000Z",1,236.99,0,7.11,42.2,1.83,2.66,2.95,0.34
"2020-12-01T01:00:00.000Z",1,240.33,0,7.54,40.05,1.79,2.74,3,0.46
"2020-12-01T02:00:00.000Z",1,243.66,0,7.11,39.7,1.57,2.55,2.8,0.71
"2020-12-01T03:00:00.000Z",1,236.99,0,5.91,41.13,1.22,2.07,2.3,1.05
"2020-12-01T04:00:00.000Z",1,230.31,0,4.54,42.92,0.91,1.61,1.82,1.27
"2020-12-01T05:00:00.000Z",1,226.97,0,3.77,42.92,0.75,1.6,1.83,1.09
"2020-12-01T06:00:00.000Z",1,230.31,0,3.98,41.49,0.89,1.95,2.24,0.84
"2020-12-01T07:00:00.000Z",1,233.65,0,4.54,39.7,0.92,2.79,3.19,0.63
"2020-12-01T08:00:00.000Z",1,240.33,0,5.57,34.33,0.86,3.83,4.33,0.69
"2020-12-01T09:00:00.000Z",1,250.34,0.03,6.26,30.4,0.89,4.57,5.16,0.77
"2020-12-01T10:00:00.000Z",1,253.68,0.26,6.08,30.4,0.89,4.44,5.1,0.87
"2020-12-01T11:00:00.000Z",1,250.34,0.44,5.27,32.54,0.87,3.63,4.32,0.99
"2020-12-01T12:00:00.000Z",1,247,0.42,4.8,34.69,0.83,2.69,3.38,1.06
"2020-12-01T13:00:00.000Z",1,247,0.32,4.93,35.05,0.84,1.95,2.7,1.17
"2020-12-01T14:00:00.000Z",1,247,0.11,5.57,33.98,0.86,1.49,2.36,1.33
"2020-12-01T15:00:00.000Z",1,250.34,0.01,5.74,32.9,0.83,1.33,2.28,1.43
"2020-12-01T16:00:00.000Z",1,250.34,0.01,6,31.83,0.9,1.3,2.29,1.85
"2020-12-01T17:00:00.000Z",1,253.68,0.02,6.77,30.04,1.21,1.45,2.44,2.95
"2020-12-01T18:00:00.000Z",1,257.02,0.02,7.71,28.61,1.8,1.77,2.79,4.56
"2020-12-01T19:00:00.000Z",1,267.03,0.02,8.4,27.54,2.59,2.18,3.28,6.52
"2020-12-01T20:00:00.000Z",1,270.37,0.01,8.4,26.82,3.25,2.4,3.54,7.79
"2020-12-01T21:00:00.000Z",1,270.37,0.01,8.23,25.39,3.67,2.45,3.62,8.36
"2020-12-01T22:00:00.000Z",1,263.69,0.01,7.45,25.75,3.37,2.17,3.21,7.22
"2020-12-01T23:00:00.000Z",1,253.68,0.01,6.08,27.9,2.33,1.81,2.59,5.13
"2020-12-02T00:00:00.000Z",1,243.66,0,4.46,31.47,1.42,1.69,2.2,2.88
"2020-12-02T01:00:00.000Z",1,240.33,0,3.43,35.05,0.93,1.74,2.07,1.25
"2020-12-02T02:00:00.000Z",1,240.33,0,3.34,36.48,1.01,1.9,2.17,1.03
"2020-12-02T03:00:00.000Z",1,240.33,0,3.9,36.84,1.43,2.15,2.44,1.25
"2020-12-02T04:00:00.000Z",1,240.33,0,4.67,36.12,1.91,2.47,2.78,1.6
"2020-12-02T05:00:00.000Z",1,247,0,4.54,36.84,1.83,2.74,3.06,1.65
"2020-12-02T06:00:00.000Z",1,250.34,0,4.71,38.62,2,3.14,3.52,1.47
"2020-12-02T07:00:00.000Z",1,260.35,0,6.6,38.27,2.65,4.14,4.63,0.97
"2020-12-02T08:00:00.000Z",1,273.71,0,10.11,32.54,3.49,5.54,6.12,0.44
"2020-12-02T09:00:00.000Z",1,270.37,0.01,9.34,34.33,3.19,5.46,5.96,0.26
"2020-12-02T10:00:00.000Z",1,253.68,0.02,6.6,47.92,2.86,4.32,4.68,0.17
"2020-12-02T11:00:00.000Z",1,250.34,0.02,5.91,52.21,3.1,4.29,4.64,0.17
"2020-12-02T12:00:00.000Z",1,253.68,0.01,6,49.35,3.52,5.21,5.62,0.15
"2020-12-02T13:00:00.000Z",1,253.68,0,5.83,47.92,3.73,5.97,6.41,0.14
"2020-12-02T14:00:00.000Z",1,253.68,0,5.57,51.5,3.55,6.5,6.96,0.14
"2020-12-02T15:00:00.000Z",1,253.68,0,5.36,55.08,3.43,6.82,7.28,0.16
"2020-12-02T16:00:00.000Z",1,257.02,0,5.57,54.36,3.43,7.46,7.91,0.17
"2020-12-02T17:00:00.000Z",1,257.02,0,6.08,49.35,3.31,8.5,9.04,0.16
"2020-12-02T18:00:00.000Z",1,257.02,0,6,46.49,2.98,9.02,9.68,0.15
"2020-12-02T19:00:00.000Z",1,257.02,0,5.18,46.49,2.47,8.76,9.44,0.16
"2020-12-02T20:00:00.000Z",1,260.35,0,4.58,46.49,2.03,8.51,9.11,0.15
"2020-12-02T21:00:00.000Z",1,263.69,0,4.41,45.06,1.79,8.36,8.82,0.15
"2020-12-02T22:00:00.000Z",1,273.71,0,4.8,40.41,1.88,8.7,9.02,0.15
"2020-12-02T23:00:00.000Z",1,283.72,0,5.31,35.41,2.18,9.61,9.81,0.17
"2020-12-03T00:00:00.000Z",2,297.07,0,6.26,31.83,2.62,10.92,11.07,0.16
"2020-12-03T01:00:00.000Z",2,307.08,0,7.2,31.83,3.07,11.07,11.2,0.16
"2020-12-03T02:00:00.000Z",2,310.42,0,7.63,33.62,3.31,11.1,11.24,0.16
"2020-12-03T03:00:00.000Z",2,307.08,0,7.88,34.33,3.37,11.1,11.26,0.15
"2020-12-03T04:00:00.000Z",2,310.42,0,8.05,33.62,3.46,11.19,11.35,0.15
"2020-12-03T05:00:00.000Z",2,307.08,0,8.05,32.9,3.43,11.33,11.5,0.16
"2020-12-03T06:00:00.000Z",2,300.41,0,7.88,33.26,3.31,11.39,11.6,0.16
"2020-12-03T07:00:00.000Z",2,297.07,0,7.88,34.69,3.28,11.43,11.69,0.17
"2020-12-03T08:00:00.000Z",2,300.41,0,8.48,33.62,3.58,11.61,11.89,0.16
"2020-12-03T09:00:00.000Z",2,307.08,0,9.08,31.83,4.47,11.72,12.02,0.16
"2020-12-03T10:00:00.000Z",2,310.42,0,8.74,33.62,4.35,11.62,11.96,0.18
"2020-12-03T11:00:00.000Z",2,310.42,0.01,7.8,37.19,3.55,12.04,12.54,0.17
"2020-12-03T12:00:00.000Z",2,297.07,0,6,45.78,2.83,11.48,12.15,0.18
"2020-12-03T13:00:00.000Z",1,277.04,0,4.41,57.94,2.44,9.51,10.19,0.19
"2020-12-03T14:00:00.000Z",1,270.37,0,3.86,62.23,2.3,9.14,9.92,0.21
"2020-12-03T15:00:00.000Z",2,277.04,0,4.07,57.94,2.47,10.81,11.73,0.19
"2020-12-03T16:00:00.000Z",2,280.38,0,4.63,52.93,2.77,12.67,13.78,0.21
"2020-12-03T17:00:00.000Z",2,277.04,0,4.28,55.08,2.68,12.52,13.56,0.23
"2020-12-03T18:00:00.000Z",2,273.71,0,3.86,57.22,2.62,12.06,13.08,0.25
"2020-12-03T19:00:00.000Z",2,273.71,0,3.68,56.51,2.89,11.65,12.47,0.25
"2020-12-03T20:00:00.000Z",2,267.03,0,3.64,54.36,3.58,10.33,10.81,0.26
"2020-12-03T21:00:00.000Z",1,260.35,0,3.3,52.93,3.64,7.84,8.09,0.29
"2020-12-03T22:00:00.000Z",1,253.68,0,2.91,53.64,3.31,4.93,5.07,0.31
"2020-12-03T23:00:00.000Z",1,247,0,2.72,55.08,3.19,2.92,3.01,0.32
"2020-12-04T00:00:00.000Z",1,243.66,0,2.66,55.08,3.13,1.89,1.97,0.32
"2020-12-04T01:00:00.000Z",1,243.66,0,2.59,55.79,2.95,1.41,1.49,0.34
"2020-12-04T02:00:00.000Z",1,243.66,0,2.49,55.79,2.68,1.12,1.21,0.35
"2020-12-04T03:00:00.000Z",1,243.66,0,2.36,55.08,2.44,0.92,1.01,0.36
"2020-12-04T04:00:00.000Z",1,247,0,2.25,55.08,2.3,0.85,0.96,0.39
"2020-12-04T05:00:00.000Z",1,247,0,2.25,54.36,2.21,0.83,0.97,0.38
"2020-12-04T06:00:00.000Z",1,253.68,0,2.46,52.93,2.27,0.88,1.04,0.36
"2020-12-04T07:00:00.000Z",1,260.35,0,3.04,50.78,2.38,1.15,1.35,0.4
"2020-12-04T08:00:00.000Z",1,270.37,0,3.86,47.92,2.56,1.65,1.92,0.52
"2020-12-04T09:00:00.000Z",1,280.38,0,4.37,45.78,2.74,2.34,2.67,0.6
"2020-12-04T10:00:00.000Z",1,287.06,0,4.5,43.99,2.83,3.15,3.51,0.62
"2020-12-04T11:00:00.000Z",1,290.39,0.01,4.33,43.63,2.77,3.64,4.01,0.56
"2020-12-04T12:00:00.000Z",1,280.38,0.01,3.77,47.21,2.59,3.61,3.95,0.5
"2020-12-04T13:00:00.000Z",1,273.71,0,3.26,50.78,2.38,3.36,3.69,0.46
"2020-12-04T14:00:00.000Z",1,273.71,0,3.34,51.5,2.47,3.73,4.09,0.47
"2020-12-04T15:00:00.000Z",1,270.37,0,3.6,50.78,2.59,4.14,4.52,0.47
"2020-12-04T16:00:00.000Z",1,267.03,0,3.73,52.93,2.44,3.97,4.32,0.49
"2020-12-04T17:00:00.000Z",1,263.69,0,3.9,53.64,2.27,3.87,4.22,0.53
"2020-12-04T18:00:00.000Z",1,263.69,0,3.86,52.21,2.15,4.29,4.68,0.55
"2020-12-04T19:00:00.000Z",1,267.03,0,3.73,50.07,2.09,4.97,5.4,0.53
"2020-12-04T20:00:00.000Z",1,267.03,0,3.64,46.49,2,5.4,5.88,0.54
"2020-12-04T21:00:00.000Z",1,267.03,0,3.77,43.63,1.88,5.64,6.14,0.54
"2020-12-04T22:00:00.000Z",1,267.03,0,4.07,42.2,1.76,5.52,5.96,0.52
"2020-12-04T23:00:00.000Z",1,263.69,0,3.98,41.49,1.57,5.07,5.38,0.52
"2020-12-05T00:00:00.000Z",1,260.35,0,3.38,41.49,1.42,4.38,4.6,0.53
"2020-12-05T01:00:00.000Z",1,257.02,0,2.79,41.13,1.18,3.88,4.07,0.63
"2020-12-05T02:00:00.000Z",1,257.02,0,2.53,39.7,0.98,3.68,3.88,0.78
"2020-12-05T03:00:00.000Z",1,257.02,0,2.51,37.91,0.89,3.63,3.86,0.93
"2020-12-05T04:00:00.000Z",1,257.02,0,2.68,35.76,0.86,3.69,3.95,1.11
"2020-12-05T05:00:00.000Z",1,257.02,0,2.91,33.62,0.84,3.8,4.09,1.25
"2020-12-05T06:00:00.000Z",1,260.35,0,3.47,31.83,0.98,3.97,4.34,1.39
"2020-12-05T07:00:00.000Z",1,267.03,0.01,4.41,29.68,1.15,4.22,4.68,1.44
"2020-12-05T08:00:00.000Z",1,270.37,0.01,5.06,28.25,1.15,4.4,4.88,1.25
"2020-12-05T09:00:00.000Z",1,270.37,0.02,4.71,28.25,1,4.28,4.74,1
"2020-12-05T10:00:00.000Z",1,263.69,0.08,3.98,28.97,0.84,3.89,4.3,0.83
"2020-12-05T11:00:00.000Z",1,257.02,0.11,3.6,29.68,0.75,3.53,3.9,0.75
"2020-12-05T12:00:00.000Z",1,253.68,0.05,3.43,30.76,0.73,3.27,3.62,0.68
"2020-12-05T13:00:00.000Z",1,250.34,0.01,3.26,32.54,0.82,3.14,3.48,0.56
"2020-12-05T14:00:00.000Z",1,250.34,0.01,3.21,33.26,0.92,3.13,3.46,0.51
"2020-12-05T15:00:00.000Z",1,250.34,0,3.38,32.9,0.91,3.27,3.58,0.49
"2020-12-05T16:00:00.000Z",1,250.34,0,3.43,32.19,0.83,3.49,3.73,0.41
"2020-12-05T17:00:00.000Z",1,253.68,0,3.21,33.26,0.88,3.7,3.88,0.36
"2020-12-05T18:00:00.000Z",1,257.02,0,3.09,33.98,1.04,4.22,4.38,0.31
"2020-12-05T19:00:00.000Z",1,260.35,0,3.26,34.33,1.21,4.67,4.84,0.29
"2020-12-05T20:00:00.000Z",1,263.69,0,3.51,34.33,1.28,5.37,5.58,0.29
"2020-12-05T21:00:00.000Z",1,263.69,0,3.73,34.33,1.28,5.97,6.23,0.32
"2020-12-05T22:00:00.000Z",1,267.03,0,3.86,35.05,1.18,6.3,6.58,0.35
"2020-12-05T23:00:00.000Z",1,267.03,0,3.47,37.91,0.97,6.61,6.92,0.3
"2020-12-06T00:00:00.000Z",1,267.03,0,2.91,41.84,0.83,6.87,7.33,0.25
"2020-12-06T01:00:00.000Z",1,270.37,0,3.6,43.27,1.21,6.96,7.83,0.22
"2020-12-06T02:00:00.000Z",1,280.38,0,4.88,44.35,1.83,6.69,7.7,0.19
"2020-12-06T03:00:00.000Z",1,293.73,0,5.18,43.99,2,6.23,7.02,0.16
"2020-12-06T04:00:00.000Z",1,297.07,0,5.57,41.84,1.91,5.39,6,0.23
"2020-12-06T05:00:00.000Z",1,290.39,0,6.08,38.98,1.83,5.15,5.73,0.3
"2020-12-06T06:00:00.000Z",1,287.06,0,6.86,37.19,2.03,5.37,6.09,0.4
"2020-12-06T07:00:00.000Z",1,287.06,0,7.37,36.84,2.09,5.59,6.42,0.55
"2020-12-06T08:00:00.000Z",1,287.06,0,7.28,37.55,1.76,5.6,6.32,0.55
"2020-12-06T09:00:00.000Z",1,290.39,0,7.37,36.12,1.51,5.81,6.27,0.44
"2020-12-06T10:00:00.000Z",1,290.39,0.01,7.11,34.69,1.42,6.56,6.9,0.36
"2020-12-06T11:00:00.000Z",1,293.73,0.02,6.94,33.62,1.36,7.69,8.12,0.63
